,0
ma200_distance,2603.9993813604115
rank_tail_risk,2408.2927592992783
idiovol_21d,2084.570968993008
z_idiovol_21d_sn,2058.184256836772
rvol_63d_csz,2014.3063703831285
rvol_21d,1898.6964695937932
ix_longmom_x_yield_curve_csz,1889.349280178547
ix_rvol_x_vix_pctile,1781.8864187151194
rank_market_beta,1679.6530828550458
ix_rvol_x_vix_pctile_csz,1667.8940157095592
semi_beta_N,1656.5908967629075
semi_beta_P_csz,1588.6986251026392
rvol_63d,1475.6419073790312
sector_rel_mom_63d,1336.8133325576782
semi_beta_Mplus_csz,1329.4921098130621
z_idiovol_21d_sni,1225.2984511214827
rvol_10d,1206.56956193503
semi_beta_Mminus_csz,1202.4661926056904
z_rvol_21d_sni,1151.549696824979
rank_rvol_21d,1132.820236283044
mkt_beta_63d_sn,1114.5310714058578
alt_ebit_ev_signal,1068.6407174710184
semi_beta_N_csz,1059.2127084055771
alt_finra_si_level_signal,1006.4720104634762
idiovol_21d_sni,1000.8747176627318
semi_beta_Mplus,870.3271821036935
rank_price_52w_high,779.1508920401335
max_ret_21d_csz,751.3635306358337
alt_oil_beta_signal,746.4105744436383
price_52w_high_csz,706.5878683179617
alt_dividend_yield_csz,668.0654229409993
rank_short_momentum,645.4436815140975
idiovol_21d_sn_csz,601.179398059845
rank_residual_momentum,584.5993404984474
alt_cyclicality_cu_au_signal_csz,565.9072290934622
kumar_lottery_21_csz,535.1694090322902
rvol_21d_sn_csz,529.2404098510742
alt_earnings_ann_return_signal_sni,486.45685052275655
mom_12_1_csz,480.6591805428267
mom_10d_csz,451.364422592024
max_ret_21d,444.8393119573593
ix_beta_x_vol,434.7831098710497
ix_mom_x_vol,421.62081389998394
ix_longmom_x_yield_curve,412.10136651222905
rvol_21d_sn,404.95707650482655
obv_zscore_csz,395.204010784626
ma200_distance_csz,394.71453082274934
kumar_lottery_21,384.17573441671476
alt_dividend_yield,381.9776966838787
alt_piotroski_f_score_signal_csz,371.9941422343254
ix_idiovol_x_hy_spread_csz,338.1071522345438
z_mom_12_1_sn,313.9664736794574
mom_5d_csz,313.6419106530026
ix_idiovol_x_hy_spread,312.655002359833
semi_beta_Mminus,308.82919973134995
log_price_z_csz,300.292373880537
log_price_z,289.5582260328035
alt_finra_delta_si_signal,277.13927509076893
alt_ebit_ev_signal_sni_csz,263.82632786408067
alt_roe_signal_sni_csz,262.3417802527547
mom_126d_sn_csz,251.18795765936375
alt_cyclicality_cu_au_signal_sni,246.65260720159858
price_accel_21d_csz,244.54982855801399
rank_reversal_2d,243.05879839296853
mom_126d_sni_csz,234.1068018116057
alt_earnings_surprise_consistency_signal_csz,229.9307782156393
rank_reversal_1d,229.174438350967
ix_high52w_x_mom,227.23505643879375
rank_long_momentum,225.43259397664895
alt_earnings_ann_return_signal,220.14334870520094
vol_regime_csz,215.81912171654403
ix_beta_x_yield_curve,213.01399949328467
alt_pc2_slope_beta_signal,209.29705317504704
mom_12_1,206.91891152214478
alt_days_to_earnings_signal,187.9953473064871
alt_earnings_beat_streak_signal_csz,187.51262202078388
mom_12_1_sni,187.2129493318498
alt_oil_beta_x_oil_momentum_csz,183.15234446246177
ix_mom_x_vix,181.62444871397955
mkt_beta_63d_sni,163.71375358477235
alt_oil_beta_x_oil_momentum,160.97895067557693
mom_12_1_sn,159.35967636108398
alt_piotroski_f_score_signal_sni_csz,157.58961965640387
mkt_beta_63d_sn_csz,154.72054958343506
z_mom_12_1_sni,147.6427944600582
alt_dxy_beta_signal,146.879897411574
alt_finra_si_level_signal_csz,145.3822995411853
alt_earnings_yield_signal,144.772591650486
alt_naive_dtd_signal,142.83964657783508
vol_of_vol,140.13800048828125
alt_earnings_ann_return_signal_sni_csz,139.28860123548657
ix_beta_x_yield_curve_csz,138.7141381377975
alt_credit_beta_signal_csz,133.93190060183406
rank_ma_distance,129.97840122133493
alt_target_upside_signal,126.54224945780717
alt_cyclicality_cu_au_signal_sni_csz,125.68338795937598
alt_earnings_surprise_signal,125.34922944474965
wavelet_band_monthly_energy_csz,123.11946195163407
co_skew_252_csz,114.95091086447239
efficiency_21d_csz,110.4326057434082
alt_earnings_surprise_signal_csz,109.67473706696182
wavelet_band_dominant_frequency_csz,105.28586982190609
alt_piotroski_f_score_signal,105.26229293644428
z_mom_126d,103.15537735323112
downside_beta_spread_252,102.00262507165854
ma50_distance_csz,99.37075987687477
alt_dxy_beta_signal_csz,95.8478812999092
wavelet_band_monthly_energy,94.90138390362263
alt_insider_activity_signal,93.99747573717364
alt_current_ratio_chg_signal,93.85320281982422
alt_analyst_revision_signal,92.88090358426173
alt_leverage_signal_sni,88.21550826728344
alt_earnings_ann_return_signal_csz,87.19629750228845
alt_credit_beta_signal,84.42144235020334
amihud_21d_sn_csz,84.12336164712906
ix_mom_x_vol_csz,84.12095155119896
down_up_vol_ratio_63_csz,83.1735580391768
alt_naive_dtd_signal_csz,83.14023197335857
z_mom_126d_sn,81.90835529885122
alt_days_to_earnings_signal_csz,81.40543337315322
tail_dep_lower_csz,80.40782865401238
alt_asset_growth_signal_csz,79.7354329098016
alt_analyst_revision_signal_csz,73.3789298037688
alt_book_to_market_signal_sni_csz,72.92785153005805
realized_skew_21_csz,72.08081347371142
downside_beta_spread_252_csz,71.04149579443038
alt_earnings_beat_streak_signal,69.0583795843025
alt_book_to_market_signal_sni,66.75433761253953
z_mom_12_1,66.32344073243439
alt_analyst_coverage_signal_csz,63.11794945057481
wavelet_band_weekly_energy,61.808316518863045
realized_skew_63,61.17776434421539
realized_skew_63_csz,58.76230011433363
alt_value_composite_signal_csz,58.49782398715615
co_skew_252,58.21705638617277
wavelet_band_weekly_energy_csz,56.239285320043564
alt_dxy_beta_x_dxy_mom_regime,54.646258705606066
wavelet_band_intra_week_energy_csz,54.443680514891945
alt_leverage_signal,54.07052343711257
sector_momentum_63d_csz,52.95566750988364
alt_analyst_rating_signal,51.073489758230394
rank_macd,50.68056090991013
rank_price_acceleration,49.832131878472865
alt_eodhd_sentiment,49.37576634685198
rank_amihud,48.98471149802208
alt_analyst_coverage_signal,48.57612713472918
alt_chs_distress_signal_sni,47.73752081990242
alt_earnings_surprise_consistency_signal,47.21856499489929
alt_asset_growth_signal_sni_csz,46.09374910593033
ix_mom_x_hurst,45.57133637368679
wavelet_band_intra_week_energy,45.411897122859955
alt_pc2_slope_beta_signal_sni_csz,44.74060668051243
hurst_63d,43.31250115608176
alt_dxy_beta_x_dxy_mom_regime_csz,43.05171759054065
alt_net_operating_assets_signal_sni_csz,39.54368984699249
mom_126d,39.52773731698593
alt_finra_delta_si_signal_csz,37.926280811429024
residual_mom_21d,37.241736149415374
alt_net_share_issuance_signal,36.636411622166634
macd_hist,36.3018741607666
alt_chs_distress_signal_csz,34.44589676707983
amihud_21d,31.400279641151428
macd_hist_csz,31.187685694959427
alt_altman_z_signal_csz,30.803333167325366
alt_ebit_ev_signal_csz,30.42193610370159
alt_value_composite_signal,30.067284089326858
ret_reversal_2d_csz,28.120096252723172
ix_beta_x_vol_csz,27.538424007594585
wavelet_band_spectral_entropy,27.425641978625208
alt_leverage_signal_csz,27.330622620880604
alt_net_operating_assets_signal_csz,27.04183680874606
down_up_vol_ratio_63,26.683117277920246
alt_book_to_market_signal_csz,26.671543329954147
alt_naive_dtd_signal_sni,26.415562726557255
bollinger_pct_b_csz,25.810855820775032
z_mkt_beta_63d,25.183244824409485
