Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
2013,32.9,-3.19,13.49,3.38,14.65,-2.92,10.43,-6.26,14.91,6.33,8.57,3.87,139.63
2014,-8.1,10.07,-6.47,-4.73,4.99,9.6,-9.4,6.37,-10.43,-11.22,-1.81,-3.76,-24.89
2015,1.3,7.89,1.95,-6.05,9.9,3.39,0.93,-12.32,-0.14,3.79,4.76,-10.22,2.61
2016,-20.68,-3.86,9.66,-0.84,3.05,-3.11,8.42,0.9,2.41,-9.59,22.88,-4.36,-1.44
2017,8.06,10.2,0.88,7.18,-2.46,9.08,14.67,-0.57,11.52,6.51,7.21,4.53,107.92
2018,6.47,-6.97,0.51,-0.17,9.49,-3.3,-1.94,5.72,-4.22,-18.09,-0.6,-15.82,-28.39
2019,15.61,12.25,-1.91,9.35,-7.84,11.16,-3.34,-4.68,-3.61,-2.09,7.4,1.22,34.81
2020,2.14,-5.92,-21.58,57.51,18.65,12.88,9.11,6.13,-5.95,-3.13,18.48,14.2,126.95
2021,2.72,6.35,3.16,7.32,2.69,-0.31,-2.06,4.22,-8.44,11.83,-10.98,-2.31,12.52
2022,-15.96,4.19,-6.23,-11.33,0.33,-18.86,16.8,-0.56,-16.1,22.6,0.78,-6.98,-33.62
2023,13.11,-3.48,-11.25,-6.91,-4.41,14.89,11.58,-2.74,-7.21,-7.02,16.62,20.08,29.87
2024,-1.02,17.25,4.68,-16.9,10.65,4.15,5.85,-3.7,1.73,-3.74,16.02,-10.16,21.05
2025,10.53,-4.21,-5.32,2.75,8.65,1.69,1.46,12.69,3.66,-1.62,-0.54,0.73,32.96
2026,10.97,9.56,,,,,,,,,,,21.58
