,Strategy,SPY Buy & Hold,Excess
2013-01-02,100000.0,100000.0,0.0
2013-01-03,100000.0,99774.05413214251,225.94586785748834
2013-01-04,100000.0,100212.26052870676,-212.2605287067563
2013-01-07,100526.62215703483,99938.34380760379,588.2783494310424
2013-01-08,100255.16168543114,99650.84015582915,604.3215296019916
2013-01-09,100972.99208244197,99904.12389916173,1068.8681832802395
2013-01-10,103972.98747208912,100698.31968834164,3274.6677837474854
2013-01-11,101688.32820624804,100691.47701876628,996.8511874817632
2013-01-14,102582.88025960769,100623.0306413169,1959.8496182907838
2013-01-15,102459.53370489118,100691.47701876631,1768.0566861248662
2013-01-16,102697.47015525139,100677.83760357248,2019.6325516789075
2013-01-17,105175.76748837723,101328.17987810339,3847.5876102738403
2013-01-18,107958.48224674803,101554.13886709139,6404.343379656639
2013-01-21,107958.48224674803,101554.13886709139,6404.343379656639
2013-01-22,111149.49380955084,102101.8870219488,9047.606787602039
2013-01-23,110979.01168355631,102266.18981854066,8712.821865015649
2013-01-24,111323.25766221108,102293.56049684211,9029.697165368969
2013-01-25,111607.17960228326,102868.67933000097,8738.500272282283
2013-01-28,112539.61001122383,102745.45879312235,9794.151218101484
2013-01-29,115125.65432221963,103149.44528124454,11976.209040975096
2013-01-30,125178.36121986015,102745.45879312234,22432.90242673781
2013-01-31,132900.02500515786,102492.10944413707,30407.915561020796
2013-02-01,127940.82667808859,103546.51037300815,24394.316305080443
2013-02-04,122475.32357694674,102382.60048867024,20092.7230882765
2013-02-05,124481.90289586298,103416.39468203201,21065.508213830966
2013-02-06,127081.33324640476,103491.7165318831,23589.61671452166
2013-02-07,127021.3959394553,103354.8040952885,23666.59184416679
2013-02-08,130085.76383173747,103929.83764109884,26155.926190638624
2013-02-11,128999.63507941255,103909.36211689492,25090.27296251763
2013-02-12,130222.69647051714,104080.51414362738,26142.182326889757
2013-02-13,132243.18600777493,104169.541014325,28073.644993449925
2013-02-14,132453.83935138508,104265.3646306411,28188.47472074398
2013-02-15,133407.23056095812,104142.0981698056,29265.132391152525
2013-02-18,133407.23056095812,104142.0981698056,29265.132391152525
2013-02-19,135576.84755934202,104922.61518040007,30654.232378941946
2013-02-20,132122.61226446004,103614.95675045748,28507.65551400256
2013-02-21,129243.89488615398,102985.03751560835,26258.857370545637
2013-02-22,131362.40964344083,103991.5003940603,27370.909249380522
2013-02-25,127388.01446091975,102012.84046955536,25375.173991364383
2013-02-26,128144.45292340357,102711.21920298443,25433.233720419143
2013-02-27,129937.04424674675,104005.2119754721,25931.832271274645
2013-02-28,128657.74551657107,103799.7744346449,24857.971081926167
2013-03-01,129396.12052870353,104142.09816980564,25254.022358897884
2013-03-04,130108.39750384717,104696.66275197733,25411.734751869837
2013-03-05,133101.1643152732,105634.62676845775,27466.537546815453
2013-03-06,133549.52136232675,105778.4015563235,27771.119806003248
2013-03-07,133793.95251523406,105970.17343969582,27823.779075538245
2013-03-08,137256.47783184532,106422.03237258445,30834.445459260867
2013-03-11,139436.64315618118,106825.98605788032,32610.657098300857
2013-03-12,138129.20531476042,106586.30236634996,31542.902948410454
2013-03-13,139497.015722212,106736.93294492162,32760.082777290387
2013-03-14,140950.2677637126,107305.16318454822,33645.10457916437
2013-03-15,139517.0669639519,107163.53370152533,32353.533262426557
2013-03-18,138881.165436293,106572.13154536931,32309.03389092369
2013-03-19,137820.27779288165,106324.54237269005,31495.735420191602
2013-03-20,139937.57155446394,107067.26396677096,32870.30758769298
2013-03-21,138174.38644301385,106152.6293203864,32021.757122627445
2013-03-22,138929.73485067143,107005.35847289456,31924.376377776876
2013-03-25,139862.63905939364,106558.36747943539,33304.27157995825
2013-03-26,142188.26663451473,107411.08351081298,34777.18312370175
2013-03-27,143917.01392676667,107411.08351081298,36505.930415953684
2013-03-28,146008.7035812479,107741.2177157043,38267.48586554358
2013-04-01,142847.98702110696,107314.83345775443,35533.153563352535
2013-04-02,144791.11649890456,107844.33668059931,36946.77981830525
2013-04-03,140783.1675526144,106750.87414611781,34032.293406496596
2013-04-04,142315.9186910213,107184.19292155684,35131.725769464465
2013-04-05,142170.74500333492,106702.74583930592,35467.999164028995
2013-04-08,144268.33520137385,107424.8672584428,36843.46794293105
2013-04-09,146499.9618613005,107796.20181322219,38703.7600480783
2013-04-10,150292.4156770875,109116.5943003515,41175.821376736
2013-04-11,152212.73487926947,109474.21071315379,42738.524166115676
2013-04-12,150634.4891604946,109206.0016838347,41428.487476659895
2013-04-15,142091.2794553658,106675.29643422127,35415.98302114452
2013-04-16,143509.39900572467,108250.1010819094,35259.29792381528
2013-04-17,140719.09252877397,106668.46032521118,34050.63220356278
2013-04-18,137983.93924249578,106001.35580641848,31982.5834360773
2013-04-19,142084.5426865295,106922.84624350892,35161.69644302057
2013-04-22,142874.061832364,107397.3588082707,35476.70302409331
2013-04-23,145143.47248587327,108504.51324246821,36638.95924340506
2013-04-24,144503.80878950667,108573.30732987687,35930.5014596298
2013-04-25,148112.36551501031,109013.45565376068,39098.90986124963
2013-04-26,148374.7272945597,108820.84401803398,39553.883276525725
2013-04-29,150000.1248795507,109549.84747013783,40450.27740941288
2013-04-30,150950.77119486866,109811.15478479415,41139.61641007451
2013-05-01,149024.03184844996,108848.37214990189,40175.65969854807
2013-05-02,154187.33061326685,109859.34869725876,44327.981916008095
2013-05-03,155811.4205104171,110973.37860385794,44838.04190655917
2013-05-06,157352.47645626002,111255.29921458883,46097.17724167119
2013-05-07,157760.41465901697,111819.2322839644,45941.182375052565
2013-05-08,159135.33851417594,112328.13533186525,46807.20318231068
2013-05-09,162554.63950919075,112011.81111686477,50542.82839232597
2013-05-10,165563.17706332164,112376.25051754662,53186.926545775015
2013-05-13,167734.9153616452,112465.67102216036,55269.24433948484
2013-05-14,170689.12861630225,113627.8489172673,57061.279699034945
2013-05-15,174045.09588991656,114239.92341458528,59805.172475331274
2013-05-16,174542.87688407896,113703.5447193387,60839.33216474026
2013-05-17,177894.12539584466,114803.81712056923,63090.30827527543
2013-05-20,178771.24268649856,114796.96789042861,63974.27479606995
2013-05-21,178915.95587477935,114962.00547033058,63953.95040444877
2013-05-22,173177.2548791826,114109.26319669189,59067.99168249073
2013-05-23,174854.22946240733,113779.18803688798,61075.04142551935
2013-05-24,175922.48129156767,113682.89205987252,62239.58923169515
2013-05-27,175922.48129156767,113682.89205987252,62239.58923169515
2013-05-28,180067.26326535284,114363.69503894648,65703.56822640637
2013-05-29,175320.80348493432,113621.01280825718,61699.79067667715
2013-05-30,177515.24802486497,114040.48223041375,63474.76579445122
2013-05-31,173058.17303429914,112403.80489167554,60654.3681426236
2013-06-03,172506.57907483703,113022.7023768731,59483.87669796393
2013-06-04,171111.6931245296,112479.43508809428,58632.258036435305
2013-06-05,167137.78502908573,110904.62387984087,56233.16114924486
2013-06-06,172615.57432107307,111908.62654631704,60706.94777475603
2013-06-07,175791.79578040887,113332.16424060243,62459.63153980643
2013-06-10,174769.0082216554,113332.16424060243,61436.84398105295
2013-06-11,171233.08638284457,112163.09775196327,59069.9886308813
2013-06-12,169584.76998547354,111234.71216077532,58350.05782469822
2013-06-13,175134.79817333928,112926.40639985767,62208.391773481606
2013-06-14,174364.7536962729,112218.08841004637,62146.66528622653
2013-06-17,175889.86531437075,113084.60787074955,62805.2574436212
2013-06-18,178492.4158408253,113978.61609992899,64513.79974089631
2013-06-19,172997.9907829824,112403.80489167558,60594.18589130683
2013-06-20,163169.5449595748,109618.60875472012,53550.936204854675
2013-06-21,162922.66960094278,109970.51747573855,52952.15212520423
2013-06-24,158285.42523313974,108580.96350954553,49704.46172359421
2013-06-25,162531.40491028104,109624.82817059492,52906.57673968612
2013-06-26,164114.5463612873,110710.27369431793,53404.272666969366
2013-06-27,168744.8289980346,111360.11080532316,57384.71819271143
2013-06-28,168005.03914483485,110903.82349087809,57101.215653956766
2013-07-01,171153.38406593085,111553.72620753599,59599.65785839486
2013-07-02,170039.17346208598,111449.96430724463,58589.209154841345
2013-07-03,170267.10612586385,111498.3812789284,58768.72484693545
2013-07-04,171359.31725020023,111498.3812789284,59860.93597127183
2013-07-05,174681.56718307486,112701.27404209352,61980.29314098135
2013-07-08,176337.3267895873,113344.23568069702,62993.09110889028
2013-07-09,177280.61285587293,114160.00260848073,63120.61024739219
2013-07-10,178727.51026515054,114201.47850211011,64526.03176304043
2013-07-11,183459.06970277493,115756.94916395107,67702.12053882386
2013-07-12,182135.09101273902,115805.37925676534,66329.71175597368
2013-07-15,183648.68875281521,116247.79753623217,67400.89121658304
2013-07-16,181371.85353895262,115812.28097142813,65559.57256752449
2013-07-17,182354.24367587862,116109.55330488802,66244.6903709906
2013-07-18,184829.9820688248,116745.58698656768,68084.3950822571
2013-07-19,184343.28128211794,116952.96645471446,67390.31482740348
2013-07-22,185301.31173029516,117181.11667250226,68120.1950577929
2013-07-23,183859.76230504303,116932.2219473345,66927.54035770852
2013-07-24,183575.3083355196,116503.60709719323,67071.70123832636
2013-07-25,181410.0904083089,116787.06288019703,64623.02752811187
2013-07-26,179691.4157877269,116911.4905610851,62779.925226641804
2013-07-29,179024.9769863344,116552.01094774643,62472.96603858797
2013-07-30,182683.01892047754,116552.01094774643,66131.00797273111
2013-07-31,185525.11735527313,116634.98897726623,68890.1283780069
2013-08-01,189513.8919561937,117983.05392869937,71530.83802749432
2013-08-02,190494.95747305042,118183.51856105283,72311.4389119976
2013-08-05,191387.57329776319,118010.71327187262,73376.86002589056
2013-08-06,188198.738836088,117340.15789574855,70858.58094033947
2013-08-07,186235.81321090768,116959.90753276888,69275.9056781388
2013-08-08,187009.8187197238,117388.46989838801,69621.34882133578
2013-08-09,187601.0807401213,117049.78727695144,70551.29346316987
2013-08-12,186350.9693866217,116911.49056108511,69439.47882553659
2013-08-13,188797.55345920654,117257.19298735929,71540.36047184725
2013-08-14,184246.6849025988,116655.70724238512,67590.97766021367
2013-08-15,177608.33485627442,115024.16026568714,62584.17459058728
2013-08-16,178194.89647435595,114643.923023838,63550.97345051795
2013-08-19,175032.44196531526,113911.12100444351,61121.320960871744
2013-08-20,177906.94447454484,114471.09149239672,63435.85298214812
2013-08-21,175632.95870457825,113765.96193730604,61866.99676727221
2013-08-22,178415.02260924963,114802.95112595371,63612.07148329592
2013-08-23,180761.02903776604,115190.06384020456,65570.96519756148
2013-08-26,182066.1713912155,114761.44899006329,67304.7224011522
2013-08-27,173962.4372106522,112915.60770942521,61046.82950122698
2013-08-28,174205.71894488012,113316.5894586543,60889.12948622582
2013-08-29,176507.02251369727,113496.32270475838,63010.699808938894
2013-08-30,173911.24773483202,113136.85621255028,60774.391522281745
2013-09-02,173911.24773483202,113136.85621255028,60774.391522281745
2013-09-03,175962.88039794235,113648.44909221132,62314.431305731036
2013-09-04,181414.73948712862,114588.64370088313,66826.0957862455
2013-09-05,182634.34895639453,114733.81588915114,67900.53306724339
2013-09-06,184570.90587649227,114789.1476966282,69781.75817986406
2013-09-09,188895.25172847975,115888.35728628519,73006.89444219456
2013-09-10,191914.34629937314,116745.58698656774,75168.7593128054
2013-09-11,193186.3064299826,117112.03392022187,76074.27250976072
2013-09-12,191660.8618972378,116800.89255178375,74859.96934545405
2013-09-13,193320.683369347,117063.56446401597,76257.11890533104
2013-09-16,196958.792833033,117741.08716045553,79217.70567257746
2013-09-17,200227.21425602312,118266.52283283377,81960.69142318935
2013-09-18,204729.54635371626,119635.33229164685,85094.21406206941
2013-09-19,205434.17424147227,119434.85453816282,85999.31970330945
2013-09-20,200758.66034587918,118599.85203301097,82158.8083128682
2013-09-23,198797.7254184434,118051.03450601472,80746.69091242869
2013-09-24,200070.8690032206,117773.16832461995,82297.70067860065
2013-09-25,199679.07551320342,117432.72747169135,82246.34804151207
2013-09-26,201963.8311086269,117884.33054253452,84079.50056609239
2013-09-27,201191.21854956713,117342.45409359265,83848.76445597448
2013-09-30,199848.19654623876,116717.16661782327,83131.02992841549
2013-10-01,204847.4045235002,117641.18287254221,87206.221650958
2013-10-02,204866.1386464209,117530.00753349712,87336.13111292379
2013-10-03,201718.2061696889,116446.25463561343,85271.95153407547
2013-10-04,204315.6719013868,117328.55881635331,86987.1130850335
2013-10-07,200590.21802875944,116314.22982014407,84275.98820861537
2013-10-08,193122.12764107666,114959.57806118109,78162.54957989557
2013-10-09,191787.56961848694,115043.00220913914,76744.5674093478
2013-10-10,201434.27514287553,117523.0270920511,83911.24805082443
2013-10-11,204784.16996880228,118280.28689876766,86503.88307003462
2013-10-14,207016.86369850495,118752.66071925183,88264.20297925312
2013-10-15,203094.18455955372,117891.25849945834,85202.92606009537
2013-10-16,208189.52650065438,119537.67171705543,88651.85478359894
2013-10-17,210302.76246005704,120336.59111322887,89966.17134682817
2013-10-18,213065.79678101567,121149.40578664164,91916.39099437403
2013-10-21,213973.20854691073,121156.34686469605,92816.86168221467
2013-10-22,217459.7681133058,121858.05180471641,95601.71630858938
2013-10-23,215900.8059774544,121274.41079727336,94626.39518018105
2013-10-24,217457.23182178018,121677.37383721364,95779.85798456654
2013-10-25,217563.2799114036,122233.15868452533,95330.12122687827
2013-10-28,217441.56506903196,122427.65320248419,95013.91186654777
2013-10-29,221530.57508754745,123080.69186934059,98449.88321820686
2013-10-30,215230.19037552734,122469.36527646321,92760.82509906412
2013-10-31,212493.22051561438,122121.98334548023,90371.23717013415
2013-11-01,212930.6473036893,122413.81040976701,90516.83689392229
2013-11-04,215695.05439987223,122844.47215627214,92850.58224360009
2013-11-05,216499.31754725866,122455.49624148497,94043.82130577369
2013-11-06,214361.93103858753,123080.69186934059,91281.23916924694
2013-11-07,209829.3590337775,121524.55202984218,88304.80700393532
2013-11-08,215678.57339837088,123163.9979271238,92514.57547124708
2013-11-11,217425.16127073887,123184.86052467859,94240.30074606028
2013-11-12,216672.61224887392,122934.79801889298,93737.81422998094
2013-11-13,220911.48811917618,123921.31021836253,96990.17790081365
2013-11-14,221903.45936534248,124539.52540477211,97363.93396057037
2013-11-15,223982.39831284506,125081.44121710556,98900.9570957395
2013-11-18,219835.54343755406,124643.79902915441,95191.74440839965
2013-11-19,219371.51345330733,124372.79519903082,94998.71825427651
2013-11-20,219543.29534131452,123983.77992085203,95559.51542046249
2013-11-21,222822.55445029432,124984.18739756088,97838.36705273345
2013-11-22,226526.5581735076,125609.42238880807,100917.13578469952
2013-11-25,226062.6210206357,125484.33865139312,100578.28236924259
2013-11-26,227681.4275077291,125519.08340505669,102162.3441026724
2013-11-27,229964.7688471626,125824.74014093011,104140.0287062325
2013-11-28,229964.7688471626,125824.74014093011,104140.0287062325
2013-11-29,230705.3397037044,125741.36847749418,104963.97122621023
2013-12-02,227866.1211778108,125414.84914406597,102451.27203374483
2013-12-03,225979.36170301822,124872.99893738521,101106.362765633
2013-12-04,224906.39777899184,124859.09053901536,100047.30723997648
2013-12-05,221851.38321448804,124310.28613314967,97541.09708133838
2013-12-06,226607.7390065766,125699.72200916786,100908.01699740873
2013-12-09,227075.5462459641,126019.27402228059,101056.27222368351
2013-12-10,225610.20642987662,125567.7627993512,100042.44363052542
2013-12-11,218883.29858632604,124157.47744690877,94725.82113941727
2013-12-12,219874.24472400287,123747.5733289141,96126.67139508876
2013-12-13,220627.67491130825,123733.7174150664,96893.95749624184
2013-12-16,224879.65538784853,124504.83313563067,100374.82225221785
2013-12-17,223553.27309317357,124108.90302165858,99444.37007151499
2013-12-18,229285.44061875815,126227.70318087038,103057.73743788777
2013-12-19,227599.39487624058,126081.79620929225,101517.59866694832
2013-12-20,233269.11600882135,126815.22804295253,106453.88796586882
2013-12-23,236247.38896048602,127492.71137600047,108754.67758448554
2013-12-24,237547.4770099849,127772.12585079866,109775.35115918623
2013-12-26,239859.6956954197,128421.70053919315,111437.99515622656
2013-12-27,238007.48521627396,128414.73321887769,109592.75199739626
2013-12-30,238338.4704277573,128393.72628888699,109944.74413887032
2013-12-31,239634.77024148262,129001.43144973599,110633.33879174663
2014-01-01,239634.77024148262,129001.43144973599,110633.33879174663
2014-01-02,236237.94368403312,127765.14540935268,108472.79827468043
2014-01-03,237039.9728487122,127744.16472162306,109295.80812708914
2014-01-06,235936.36427871435,127373.97826576573,108562.38601294861
2014-01-07,236721.50463863133,128156.31255293965,108565.19208569168
2014-01-08,241794.72492887042,128184.1818342015,113610.54309466892
2014-01-09,246542.09541865654,128267.99961607571,118274.09580258082
2014-01-10,244425.60072172017,128617.28411098666,115808.31661073351
2014-01-13,236431.64317086662,126906.0131451422,109525.63002572441
2014-01-14,243445.65027667375,128289.0065460664,115156.64373060735
2014-01-15,241159.4200641877,128980.43764087581,112178.98242331189
2014-01-16,236411.89887395196,128812.8283193885,107599.07055456346
2014-01-17,230714.37914846942,128267.99961607569,102446.37953239374
2014-01-20,230714.37914846942,128267.99961607569,102446.37953239374
2014-01-21,231797.70974245356,128645.20587677065,103152.50386568291
2014-01-22,235242.59107297056,128729.03677977536,106513.55429319521
2014-01-23,231068.77803273482,127674.32094377138,103394.45708896343
2014-01-24,218852.61166745788,124950.26927512114,93902.34239233674
2014-01-27,215051.7675476069,124335.59679395669,90716.1707536502
2014-01-28,220002.3770219114,125075.98282680192,94926.39419510949
2014-01-29,214834.18808778594,123874.57275138756,90959.61533639838
2014-01-30,223494.4687152647,125187.77485898227,98306.69385628242
2014-01-31,220215.9777132163,124454.32990419146,95761.64780902484
2014-02-03,208555.73827601105,121653.440895113,86902.29738089805
2014-02-04,213692.2954035234,122505.61896013858,91186.67644338481
2014-02-05,212151.69255499734,122351.93115815167,89799.76139684567
2014-02-06,216793.9720678878,123965.41033809936,92828.56172978845
2014-02-07,222144.41834850164,125502.05217761887,96642.36617088277
2014-02-10,220975.0251369956,125732.5510777729,95242.47405922269
2014-02-11,224061.04471549953,127108.55091612058,96952.49379937895
2014-02-12,224008.58221896915,127171.45361591784,96837.12860305131
2014-02-13,229603.8119097388,127827.99562462777,101775.81628511104
2014-02-14,230647.525654345,128533.42696572079,102114.0986886242
2014-02-17,230647.525654345,128533.42696572079,102114.0986886242
2014-02-18,233412.30887866614,128687.1147677077,104725.19411095844
2014-02-19,230287.5051874258,127834.97606607372,102452.52912135207
2014-02-20,234441.94697586034,128589.3098606804,105852.63711517994
2014-02-21,234085.00037486944,128442.6418635311,105642.35851133835
2014-02-24,235450.9620805497,129155.09300946175,106295.86907108796
2014-02-25,237769.91697114235,129106.22991933973,108663.68705180261
2014-02-26,238678.56771897347,129113.15787626359,109565.40984270988
2014-02-27,243673.23866460615,129790.69369383369,113882.54497077246
2014-02-28,242389.3928181773,130118.98437988445,112270.40843829284
2014-03-03,240610.8879377264,129204.02170523646,111406.86623248993
2014-03-04,249106.07230001673,131020.03865616258,118086.03364385416
2014-03-05,249641.05449700716,131138.77176639732,118502.28273060985
2014-03-06,248461.1256992039,131439.114444403,117022.01125480089
2014-03-07,246525.1893888594,131494.95797597105,115030.23141288836
2014-03-10,245498.73217786028,131425.10107698888,114073.6311008714
2014-03-11,239558.61941128082,130775.56575198604,108783.05365929478
2014-03-12,236779.2306423383,130810.46795921605,105968.76268312226
2014-03-13,228397.3531174684,129343.69613980925,99053.65697765914
2014-03-14,230669.33642904862,128980.43764087577,101688.89878817285
2014-03-17,231332.91828081393,130146.89302453795,101186.02525627599
2014-03-18,236636.18974355946,131075.88218773063,105560.30755582883
2014-03-19,233921.04811081395,130377.44440921412,103543.60370159983
2014-03-20,234018.26815821146,131138.77176639735,102879.49639181411
2014-03-21,230385.33743255146,130630.13114110724,99755.20629144422
2014-03-24,224740.35044551844,130089.94731800474,94650.40312751371
2014-03-25,225208.0143301649,130707.29650979886,94500.71782036604
2014-03-26,221217.92740576685,129767.20687017139,91450.72053559546
2014-03-27,220230.3895970414,129493.5919350708,90736.79766197059
2014-03-28,221948.880974716,130132.03990476938,91816.84106994663
2014-03-31,226699.95150517442,131198.39418356022,95501.55732161421
2014-04-01,232244.6572773421,132068.32513820316,100176.33213913895
