window,train_end,holdout_start,holdout_end,n_tickers,blended_ic,lgbm_ic,xgboost_ic,ridge_ic,best_model
0,2013-12-23 00:00:00,2014-01-01 00:00:00,2014-03-21 00:00:00,1217,0.0025037629001453147,0.006308771668034044,0.00955881145088469,-0.0049832249215412735,xgboost
1,2014-03-21 00:00:00,2014-03-31 00:00:00,2014-06-19 00:00:00,1225,0.001055038474718278,-0.008519459228952534,0.0009767211787198703,0.006953719741544815,ridge
2,2014-06-19 00:00:00,2014-06-27 00:00:00,2014-09-16 00:00:00,1233,-0.041369617156173544,-0.04818586541130556,-0.030651036069301477,-0.012226542913824398,ridge
3,2014-09-16 00:00:00,2014-09-24 00:00:00,2014-12-12 00:00:00,1239,-0.05826283061581205,-0.07391104036150634,-0.06873438990944183,0.008371634421635733,ridge
4,2014-12-12 00:00:00,2014-12-22 00:00:00,2015-03-13 00:00:00,1244,0.0511972554022693,0.03858912658177667,0.0366596547124857,0.028947731409127368,lgbm
5,2015-03-13 00:00:00,2015-03-23 00:00:00,2015-06-10 00:00:00,1243,0.06324519285062336,0.04969282503575987,0.04101706278510962,0.041987073923662625,lgbm
6,2015-06-10 00:00:00,2015-06-18 00:00:00,2015-09-07 00:00:00,1246,-0.07367534486735146,-0.08847997020834983,-0.07832975174340062,-0.012400576944090521,ridge
7,2015-09-07 00:00:00,2015-09-15 00:00:00,2015-12-03 00:00:00,1249,-0.02464159264206024,-0.037829187683554935,-0.03922385795673832,0.031317866331753125,ridge
8,2015-12-03 00:00:00,2015-12-11 00:00:00,2016-03-02 00:00:00,1247,-0.04882932942778973,-0.016409318246741775,-0.003195079353740627,-0.07299671278842516,xgboost
9,2016-03-02 00:00:00,2016-03-10 00:00:00,2016-05-31 00:00:00,1241,0.047298232869895526,0.054422085798521966,0.05493396250087483,-0.024504989634661127,xgboost
10,2016-05-31 00:00:00,2016-06-08 00:00:00,2016-08-26 00:00:00,1239,0.027756903735744673,0.03706054514686728,0.031115260326667754,-0.021161273578627366,lgbm
11,2016-08-26 00:00:00,2016-09-05 00:00:00,2016-11-23 00:00:00,1234,-0.004396191234688293,-0.014033089393852892,-0.019557984072196288,0.027250529311777814,ridge
12,2016-11-23 00:00:00,2016-12-01 00:00:00,2017-02-20 00:00:00,1235,0.024171455400456933,-0.007379522913786648,-0.015817263738437493,0.05005622423786151,ridge
13,2017-02-20 00:00:00,2017-02-28 00:00:00,2017-05-18 00:00:00,1230,-0.028137090900903883,-0.034235969815954545,-0.03788051897252614,0.0142895855299557,ridge
14,2017-05-18 00:00:00,2017-05-26 00:00:00,2017-08-15 00:00:00,1230,-0.024271258891191347,-0.026515393904981834,-0.041073888883445674,0.005713673726138646,ridge
15,2017-08-15 00:00:00,2017-08-23 00:00:00,2017-11-10 00:00:00,1230,0.013757271622190948,0.007084040441546237,0.022590662215216807,0.016297528433161856,xgboost
16,2017-11-10 00:00:00,2017-11-20 00:00:00,2018-02-09 00:00:00,1234,0.019224583030600307,-0.0007355248517323835,0.023136199416599376,0.047882996885904326,ridge
17,2018-02-09 00:00:00,2018-02-19 00:00:00,2018-05-10 00:00:00,1235,0.0391818717306174,0.03987766205812052,0.03110770419678141,0.01599296454772595,lgbm
18,2018-05-10 00:00:00,2018-05-18 00:00:00,2018-08-07 00:00:00,1235,0.0017364522425968468,-0.002591248640860089,-0.00809228195595917,0.018287095584433147,ridge
19,2018-08-07 00:00:00,2018-08-15 00:00:00,2018-11-02 00:00:00,1240,-0.007779582045423008,-0.024450261073576954,-0.024063052775053943,0.028390454427121528,ridge
20,2018-11-02 00:00:00,2018-11-12 00:00:00,2019-01-31 00:00:00,1241,0.05240931660972231,0.041756712395718376,0.007992598180699268,0.049220679741567436,ridge
21,2019-01-31 00:00:00,2019-02-08 00:00:00,2019-04-30 00:00:00,1236,-0.006533289376470858,-0.035109736316608214,-0.03813472950823364,0.041649132677491096,ridge
22,2019-04-30 00:00:00,2019-05-08 00:00:00,2019-07-26 00:00:00,1241,-0.013137928993989018,-0.04440294852663234,-0.01826498890758107,0.03180502713150635,ridge
23,2019-07-26 00:00:00,2019-08-05 00:00:00,2019-10-23 00:00:00,1239,-0.009804036422462472,-0.009843712958656462,-0.011067387239728374,-0.008950764640395662,ridge
24,2019-10-23 00:00:00,2019-10-31 00:00:00,2020-01-21 00:00:00,1221,0.030614796267589475,0.004954238084992975,0.028091169708729855,0.0434285847418079,ridge
25,2020-01-21 00:00:00,2020-01-29 00:00:00,2020-04-20 00:00:00,1207,0.0501788082000155,0.0434263593976102,0.038691420210448406,0.050086596652195524,ridge
26,2020-04-20 00:00:00,2020-04-28 00:00:00,2020-07-17 00:00:00,1192,0.09140200789407249,0.046477131277452274,0.029409826792614866,0.11968560375077346,ridge
27,2020-07-17 00:00:00,2020-07-27 00:00:00,2020-10-14 00:00:00,1178,0.0488055271735261,0.048234102709144064,0.01274154996775421,0.043068571084413226,lgbm
28,2020-10-14 00:00:00,2020-10-22 00:00:00,2021-01-13 00:00:00,1153,0.1043774572467716,0.11988772628462405,0.1227160310126728,0.03906318252280819,xgboost
29,2021-01-13 00:00:00,2021-01-21 00:00:00,2021-04-13 00:00:00,1133,-0.07323896259465097,-0.09052875005383584,-0.08007031405557746,-0.04678367935396391,ridge
30,2021-04-13 00:00:00,2021-04-21 00:00:00,2021-07-09 00:00:00,1114,-0.04820344290731499,-0.042329634969671695,-0.048791726563592416,-0.034120516256987636,ridge
31,2021-07-09 00:00:00,2021-07-19 00:00:00,2021-10-06 00:00:00,1100,0.011516019273256807,0.008816578499900727,0.0151373729838429,0.010023766400074918,xgboost
32,2021-10-06 00:00:00,2021-10-14 00:00:00,2022-01-03 00:00:00,1084,-0.13114712983871332,-0.1472974042776622,-0.11139942430172742,-0.06713813556664983,ridge
33,2022-01-03 00:00:00,2022-01-11 00:00:00,2022-03-31 00:00:00,1064,-0.019057999990375104,-0.014400959897828126,0.001674131496688021,-0.026808099796276005,xgboost
34,2022-03-31 00:00:00,2022-04-08 00:00:00,2022-06-29 00:00:00,1048,-0.01065910605539089,-0.0336124367938541,-0.03900548956674625,0.03235859063741444,ridge
35,2022-06-29 00:00:00,2022-07-07 00:00:00,2022-09-26 00:00:00,1033,0.029608142960203063,0.021474332690386237,0.0167505875430866,0.04572383848903582,ridge
36,2022-09-26 00:00:00,2022-10-04 00:00:00,2022-12-22 00:00:00,1016,-0.015991567993108587,-0.03655866071318104,-0.03408944427469292,0.04225071845013099,ridge
37,2022-12-22 00:00:00,2022-12-30 00:00:00,2023-03-21 00:00:00,1002,0.009788640559479206,0.016769797871713534,0.040549734010533536,-0.028853000675211585,xgboost
38,2023-03-21 00:00:00,2023-03-29 00:00:00,2023-06-19 00:00:00,987,0.029620480132102823,0.022491191699608424,-9.803310706990466e-06,0.04754434123594465,ridge
39,2023-06-19 00:00:00,2023-06-27 00:00:00,2023-09-14 00:00:00,974,-0.001637598696865252,-0.001977647458979299,-0.016708051604657014,0.028784205128245775,ridge
40,2023-09-14 00:00:00,2023-09-22 00:00:00,2023-12-12 00:00:00,960,0.05298075350430784,0.08267390548463284,0.05096440732115083,-0.0381925289681025,lgbm
41,2023-12-12 00:00:00,2023-12-20 00:00:00,2024-03-12 00:00:00,948,-0.014522981809569303,-0.0130743428770286,-0.015719664665678763,-0.009075732977238606,ridge
42,2024-03-12 00:00:00,2024-03-20 00:00:00,2024-06-10 00:00:00,936,0.01710807860632915,0.011572457916623636,0.0076666753133889185,0.016027895818497246,ridge
43,2024-06-10 00:00:00,2024-06-18 00:00:00,2024-09-05 00:00:00,925,-0.04517274743524048,-0.03486210146515321,-0.04812384871586039,-0.013257176133509855,ridge
44,2024-09-05 00:00:00,2024-09-13 00:00:00,2024-12-03 00:00:00,913,0.1030110808588913,0.056653846790077615,0.07122586140550989,0.1251926756061762,ridge
45,2024-12-03 00:00:00,2024-12-11 00:00:00,2025-02-28 00:00:00,902,-0.05469960127447557,-0.047822195814680175,-0.03149996689210176,-0.034523601896974364,xgboost
46,2025-02-28 00:00:00,2025-03-10 00:00:00,2025-05-28 00:00:00,893,0.11152102777595806,0.03011746028072091,0.09267864663540423,0.1686077177827656,ridge
