Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
2015,1.81,0.92,2.69,-3.85,5.04,1.53,5.25,-6.9,-0.82,2.19,-1.22,-2.69,3.27
2016,-4.25,0.09,2.23,-1.88,2.86,4.87,1.04,-3.72,-1.45,-4.65,5.03,-0.91,-1.35
2017,-0.45,2.96,-0.37,1.29,1.54,0.72,1.56,-2.75,3.98,6.06,5.05,-0.18,20.81
2018,3.81,-1.73,2.56,0.29,3.08,1.2,6.52,5.33,-3.28,-6.95,-1.73,-3.01,5.34
2019,1.15,0.76,4.01,1.55,-1.92,5.68,3.36,1.14,-2.43,0.89,-0.61,-0.72,13.32
2020,2.26,-6.73,-9.57,7.41,3.59,0.69,6.33,2.8,-7.81,1.26,6.38,2.88,7.91
2021,-2.55,8.4,6.64,2.7,-1.18,-4.22,0.72,6.17,-6.06,7.18,-4.58,2.6,15.42
2022,-5.12,0.48,3.61,-4.14,0.94,-2.5,1.92,-1.18,-1.57,2.47,-0.21,-2.98,-8.36
2023,0.61,-2.89,-0.26,1.76,-5.72,3.22,-0.74,1.68,-4.94,-3.26,3.26,3.29,-4.47
2024,3.55,6.26,4.94,-3.69,3.48,-0.91,-0.29,5.26,0.91,-1.27,8.71,-7.48,19.94
2025,7.08,0.2,-5.81,-2.66,0.9,2.62,-4.31,1.98,4.44,-3.05,0.6,0.82,2.08
2026,3.23,4.5,,,,,,,,,,,7.87
