,Strategy,SPY Buy & Hold,Excess
2015-01-05,100000.0,98194.04119339012,1805.9588066098804
2015-01-06,100000.0,97269.14115694842,2730.858843051581
2015-01-07,100000.0,98481.22480730429,1518.7751926957135
2015-01-08,101149.67558866074,100228.76745858692,920.908130073818
2015-01-09,100420.97902873677,99425.58792635925,995.3911023775145
2015-01-12,100459.30494017116,98646.75070114188,1812.554239029283
2015-01-13,100639.88751483089,98369.29862853435,2270.5888862965367
2015-01-14,100827.4700243139,97775.40553395535,3052.064490358549
2015-01-15,100197.77852378823,96879.7180597585,3318.060464029739
2015-01-16,101082.42020641803,98150.19992711661,2932.220279301415
2015-01-20,101323.21929904085,98359.53121057776,2963.6880884630955
2015-01-21,101397.58246603471,98856.06404627804,2541.5184197566705
2015-01-22,103127.12876826704,100326.12771746566,2801.00105080138
2015-01-23,103063.46749864152,99776.0579508352,3287.4095478063246
2015-01-26,103578.79662817661,100009.74947963163,3569.0471485449816
2015-01-27,103015.7681031737,98690.55609076543,4325.212012408272
2015-01-28,103025.4860237932,97424.9086019919,5600.577421801296
2015-01-29,104082.01190760708,98325.4932389108,5756.518668696284
2015-01-30,101810.33155148782,97088.98655908219,4721.344992405633
2015-02-02,102583.92216123977,98291.3835139439,4292.5386472958635
2015-02-03,103579.7922516563,99712.77154027342,3867.02071138288
2015-02-04,103639.66058718876,99333.11586104009,4306.54472614867
2015-02-05,104607.02672206894,100335.9041045848,4271.122617484143
2015-02-06,102122.31810471459,100058.41615532729,2063.9019493873056
2015-02-09,101309.62568616273,99610.54999532264,1699.0756908400945
2015-02-10,102536.57967066283,100671.74542503207,1864.8342456307582
2015-02-11,102350.4091350292,100730.16158035932,1620.2475546698843
2015-02-12,102955.84599233043,101698.88494474957,1256.9610475808586
2015-02-13,102058.01292354935,102117.51163502187,-59.4987114725227
2015-02-17,102178.33526366249,102278.14933529991,-99.81407163741824
2015-02-18,103539.12738099911,102287.88984576902,1251.2375352300878
2015-02-19,102199.05671759177,102214.85395557561,-15.797237983846571
2015-02-20,102994.46027895494,102828.1921944429,166.26808451203397
2015-02-23,103913.76059923247,102813.59039790172,1100.1702013307513
2015-02-24,103117.91391477683,103105.6801437004,12.23377107642591
2015-02-25,102846.30872008136,103018.02451864081,-171.7157985594531
2015-02-26,102423.53418916783,102896.34886023926,-472.81467107143544
2015-02-27,102742.10176969023,102545.87883576332,196.22293392691063
2015-03-02,103251.73141053703,103193.29092294753,58.440487589497934
2015-03-03,102975.25923698496,102769.79397744065,205.465259544304
2015-03-04,102323.78617629509,102336.55652146468,-12.770345169585198
2015-03-05,103041.57477407578,102448.5185768846,593.0561971911811
2015-03-06,101453.03595494271,101007.64056045435,445.3953944883542
2015-03-09,102643.9488375523,101426.25828156418,1217.690555988127
2015-03-10,101673.10137214808,99780.91026774485,1892.1911044032313
2015-03-11,102232.9378269687,99547.28152308587,2685.6563038828317
2015-03-12,103720.8172808344,100812.92901185939,2907.8882689750026
2015-03-13,103398.25403531277,100194.66670278259,3203.58733253018
2015-03-16,105072.84117309068,101533.36802007451,3539.473153016166
2015-03-17,104705.74310373515,101231.54673296919,3474.1963707659597
2015-03-18,105143.37357578478,102448.5185768846,2694.8549989001767
2015-03-19,105307.70998474216,101981.22521091666,3326.484773825505
2015-03-20,106097.64934032934,102881.39726636079,3216.252073968557
2015-03-23,106322.1273192525,102680.89163879433,3641.235680458165
2015-03-24,106080.8403945747,102103.9412921676,3976.8991024071
2015-03-25,103719.67218466924,100607.70560482077,3111.966579848464
2015-03-26,103406.6968233007,100368.15721291536,3038.539610385342
2015-03-27,104572.631002812,100597.98303267662,3974.647970135382
2015-03-30,105794.86258968154,101825.21559848583,3969.64699119571
2015-03-31,105505.08880433705,100935.3042649355,4569.784539401546
2015-04-01,104575.36720107515,100578.37644346345,3996.9907576116966
2015-04-02,104765.58556144778,100940.21936598254,3825.3661954652343
2015-04-06,105305.69105860795,101619.88456149727,3685.8064971106796
2015-04-07,105052.47560115006,101350.93525493462,3701.5403462154354
2015-04-08,105767.20430532054,101693.20746489053,4073.996840430016
2015-04-09,105849.82736453688,102143.08271729398,3706.7446472429
2015-04-10,106394.24103973019,102700.45338219505,3693.78765753514
2015-04-13,106156.9333424951,102235.94045660042,3920.9928858946805
2015-04-14,105643.14971932989,102431.53098311988,3211.6187362100027
2015-04-15,105433.52716326098,102891.13777682994,2542.3893864310376
2015-04-16,105447.5833192744,102861.81758463515,2585.7657346392516
2015-04-17,103657.17800873895,101678.5518533744,1978.6261553645454
2015-04-20,104888.49831686082,102607.5777045636,2280.92061229721
2015-04-21,105298.50908346394,102485.3190505999,2813.1900328640477
2015-04-22,105245.8120506264,102988.93752467091,2256.8745259554853
2015-04-23,106368.8674444673,103248.0745674645,3120.792877002794
2015-04-24,105765.97427702865,103487.67677434487,2278.297502683781
2015-04-27,104312.96964580023,103057.4081111546,1255.5615346456325
2015-04-28,104121.80362030577,103385.00677126936,736.7968490364146
2015-04-29,102615.74358537748,102959.61733247613,-343.87374709865253
2015-04-30,101440.1222258947,101927.92147821138,-487.7992523166904
2015-05-01,103079.14284944435,103032.94920503188,46.19364441247308
2015-05-04,103394.66910130801,103326.31257190481,68.35652940320142
2015-05-05,102113.14469531177,102143.08271729405,-29.93802198227786
2015-05-06,102056.23160993446,101722.55456457289,333.67704536157544
2015-05-07,103291.52212645796,102128.36432164043,1163.1578048175288
2015-05-08,104570.31368819716,103472.9763170163,1097.3373711808526
2015-05-11,104622.33727752106,102979.1521683894,1643.185109131664
2015-05-12,104036.39997974958,102671.09731335033,1365.3026663992496
2015-05-13,104021.5866130897,102690.676995076,1330.9096180136985
2015-05-14,105336.35356478022,103761.49633614214,1574.8572286380804
2015-05-15,105532.49756472802,103873.96963382425,1658.5279309037724
2015-05-18,106388.0755546381,104196.68906954196,2191.38648509614
2015-05-19,106548.53364981656,104162.40893048765,2386.124719328902
2015-05-20,107439.73027491677,104089.12190374438,3350.6083711723913
2015-05-21,107638.39052506178,104392.2347502489,3246.1557748128835
2015-05-22,107570.66382756134,104142.9189403869,3427.744887174442
2015-05-26,106587.52971239877,103023.1728179128,3564.3568944859726
2015-05-27,107545.24496374074,104001.10751218499,3544.1374515557545
2015-05-28,107416.34747790589,103883.74602094332,3532.6014569625695
2015-05-29,106552.23095275564,103238.31611867042,3313.9148340852116
2015-06-01,107233.06212356909,103448.57122586851,3784.4908977005834
2015-06-02,107272.80881010681,103345.88328446799,3926.925525638828
2015-06-03,108059.01068274384,103619.72078459019,4439.289898153656
2015-06-04,107133.31935937871,102744.46506255602,4388.8542968226975
2015-06-05,107899.75141574278,102568.42731027478,5331.324105467997
2015-06-08,107089.61516569305,101937.6799270055,5151.93523868754
2015-06-09,107164.0017202617,101923.03328465184,5240.968435609859
2015-06-10,108532.53603296746,103145.39559522648,5387.140437740978
2015-06-11,108395.96263110633,103477.90038722577,4918.0622438805585
2015-06-12,107935.0733453931,102685.78880151639,5249.284543876711
2015-06-15,107900.16231671836,102245.74375120703,5654.418565511325
2015-06-16,109205.66356628401,102803.13235443308,6402.531211850932
2015-06-17,109221.80261753444,102969.41165792022,6252.390959614218
2015-06-18,110189.50224271465,104040.18615317387,6149.316089540778
2015-06-19,109849.49756039755,103578.33706884016,6271.160491557384
2015-06-22,110514.54325176218,104108.97066034486,6405.572591417324
2015-06-23,111365.67567742734,104182.71511437536,7182.96056305198
2015-06-24,110494.74881155696,103425.99584386962,7068.752967687338
2015-06-25,110262.66115026556,103111.5997909469,7151.061359318657
2015-06-26,110436.78149548084,103091.9214484338,7344.860047047041
2015-06-29,107853.90910190644,100930.03039738876,6923.878704517672
2015-06-30,108178.20236477729,101141.31695827373,7036.885406503556
2015-07-01,109185.89141835633,101952.01264867188,7233.878769684452
2015-07-02,109008.31426979105,101858.68851291573,7149.625756875321
2015-07-06,109117.82526879983,101568.77827360322,7549.046995196608
2015-07-07,109147.41482054604,102207.53511898016,6939.879701565878
2015-07-08,107828.33428382772,100492.74784912774,7335.586434699973
2015-07-09,108062.32077655544,100674.56174205549,7387.759034499948
2015-07-10,109596.85886220828,101942.19141574031,7654.667446467967
2015-07-13,110950.77987547901,103067.34594319861,7883.433932280401
2015-07-14,111392.20589225441,103514.44972439123,7877.7561678631755
2015-07-15,110694.32253357323,103480.08886287447,7214.233670698755
2015-07-16,112909.93637832993,104310.41804997328,8599.518328356658
2015-07-17,112805.98410234948,104398.88986881987,8407.094233529613
2015-07-20,113315.18106983409,104452.89319619977,8862.287873634312
2015-07-21,113182.09123270366,104040.1861531739,9141.905079529766
2015-07-22,113452.24702033772,103853.51097417407,9598.736046163642
2015-07-23,112761.63982664334,103268.77539450204,9492.864432141301
2015-07-24,112461.18141167927,102197.70491688604,10263.476494793227
2015-07-27,111284.83637660615,101603.16604260742,9681.670333998729
2015-07-28,112028.64205540055,102851.19809624157,9177.443959158976
2015-07-29,112538.95398213572,103558.712541302,8980.24144083372
2015-07-30,112867.54379711483,103583.2611390497,9284.28265806513
2015-07-31,113861.46283405795,103425.99584386962,10435.466990188332
2015-08-03,113810.38834839065,103077.19408361767,10733.194264772988
2015-08-04,113978.7958788705,102875.72875566427,11103.06712320623
2015-08-05,115451.47968318498,103214.7720671221,12236.707616062879
2015-08-06,113928.22526043582,102369.65273106974,11558.57252936608
2015-08-07,112293.94079843606,102173.12941165087,10120.811386785193
2015-08-10,112757.00318133229,103460.43742784882,9296.56575348346
2015-08-11,113504.51687571994,102526.89111876235,10977.625756957597
2015-08-12,113011.04237577722,102649.71482996321,10361.327545814012
2015-08-13,113819.3446701401,102521.97601771534,11297.36865242476
2015-08-14,114640.04508655194,102895.38915985244,11744.655926699503
2015-08-17,115594.72852394117,103470.26762994291,12124.460893998257
2015-08-18,115051.65922311238,103170.56306518633,11881.096157926047
2015-08-19,114745.18154742905,102354.92536625365,12390.256181175399
2015-08-20,112884.0061518365,100217.61878960629,12666.387362230205
2015-08-21,110432.61802518716,97200.83201538978,13231.786009797375
2015-08-24,105021.74538727109,93107.98790921032,11913.757478060768
2015-08-25,104374.28192971477,92012.3060497092,12361.975880005572
2015-08-26,106002.71743540863,95545.00801977678,10457.709415631849
2015-08-27,106002.71743540863,97908.34646045021,8094.370974958423
2015-08-28,106002.71743540863,97913.24362317227,8089.473812236363
2015-08-31,106002.71743540863,97122.19936779975,8880.518067608878
2015-09-01,106002.71743540863,94223.33017289957,11779.387262509059
2015-09-02,106002.71743540863,96011.77220515753,9990.945230251105
2015-09-03,106002.71743540863,96080.5746506535,9922.142784755124
2015-09-04,106195.88736722834,94626.21598299389,11569.671384234447
2015-09-08,107284.76924412487,97004.29075764593,10280.47848647894
2015-09-09,106936.5698445218,95707.11666270393,11229.453181817866
2015-09-10,107079.27490875295,96227.95592876457,10851.318979988384
2015-09-11,107616.39488693056,96665.28332283806,10951.111564092498
2015-09-14,107410.6049185505,96306.60651467959,11103.998403870908
2015-09-15,107724.1210209245,97510.38472056545,10213.736300359058
2015-09-16,107885.16592467729,98355.43230331785,9529.733621359439
2015-09-17,107891.05262622375,98134.36038615128,9756.692240072472
2015-09-18,107039.06050291457,96530.6920704443,10508.368432470263
2015-09-21,107131.85598905075,97029.55688839317,10102.299100657576
2015-09-22,106321.7737667676,95770.08915257842,10551.684614189173
2015-09-23,106381.75235689971,95617.00348712083,10764.74886977888
2015-09-24,106393.20056008289,95271.24227295454,11121.95828712835
2015-09-25,106180.38885579415,95246.56810693193,10933.820748862228
2015-09-28,104916.92847189393,92856.16073384983,12060.767738044102
2015-09-29,104469.25316722823,92910.47798191707,11558.77518531117
2015-09-30,105129.28237064701,94644.01977054565,10485.262600101356
2015-10-01,105328.79315477557,94890.98565983408,10437.807494941488
2015-10-02,105783.71335253291,96308.42725466598,9475.286097866934
2015-10-05,106587.86358747918,98022.22791664398,8565.635670835196
2015-10-06,106091.03452532242,97686.37762703422,8404.656898288202
2015-10-07,106711.427044816,98486.48073652627,8224.946308289727
2015-10-08,106976.42052097103,99375.51309215213,7600.9074288189
2015-10-09,106924.35160440528,99434.73647210388,7489.6151323014055
2015-10-12,107276.93610895179,99528.6346342597,7748.301474692096
2015-10-13,106856.8494092989,98901.34037855084,7955.509030748057
2015-10-14,105315.72454582699,98427.19457243703,6888.529973389959
2015-10-15,106242.02761779842,99938.50742193726,6303.520195861158
2015-10-16,106176.49678338725,100392.93003972547,5783.5667436617805
2015-10-19,106410.22583889648,100442.26043344568,5967.965405450799
2015-10-20,106442.07874590722,100313.89377982316,6128.184966084053
2015-10-21,106525.5992031492,99691.5594709738,6834.039732175399
